ACCE_ABSORB_COST	Cena absorpce: %d
MC_REWARD_MISSION	Pøeješ si vybrat nyní sebrat Kartu pøíšery?
MC_SHUFFLE_NO_ITEM	Nemáš Míchací lístek.
MC_TIME	Èas obnovení: %s
MC_TRADE_QUESTION	%d karet bude odpoèítáno Pøeješ si pokraèovat?
MC_USE_ITEM_FAIL	Tuto kartu nelze pøidat.
MC_USE_ITEM_QUESTION	Pøeješ si pøidat tuto Kartu pøíšery?
MC_WARP_BUTTON_OVER_MSG	Tato monost je dostupná pouze pøi ètyøech hvìzdách.
MC_WARP_FAIL	Ji se nemùeš teleportovat.
MC_WARP_LIMIT_LEVEL	Tvoje úroveò není pro teleportaci dostaèující.
MC_WARP_QUESTION	Chceš se teleportovat do oblasti této pøíšery?
MESSENGER_ADD_BLOCK_FRIEND	Pøidat
MESSENGER_ADD_FRIEND	Pøidat pøítele
MESSENGER_BLOCK	Blokováno
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s tì pøijímal za pøítele.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akceptovat?
MESSENGER_DO_YOU_DELETE	Smazat?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Chceš smazat èíslo na mobil?
MESSENGER_DO_YOU_MOVE	Chceš pokraèovat?
MESSENGER_EMPTY_LIST	Prázdnı
MESSENGER_FAMILY	Rodina
MESSENGER_FRIEND	Pøátelé
MESSENGER_GUILD	Cech
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Zadej èíslo potvrzení, které bylo odesláno na tvùj mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Zadat èíslo potvrzení
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Zadej èíslo na mobil na zasílaní SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Chceš teï zadat èíslo?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Zadat èíslo na mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Poslat zprávu
METIN_TEST	
MINIMAP	Otevøít minimapu
MINIMAP_CANNOT_SEE	Minimapu nelze zobrazit.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Vekou mapu nelze zobrazit.
MINIMAP_DEC_SCALE	Oddálit
MINIMAP_INC_SCALE	Pøiblíit
MINIMAP_OBSERVER_COUNT	%d divák
MINIMAP_SHOW_AREAMAP	Velká mapa
MINI_GAME_RUMI_DISCARD_QUESTION	Opravdu chceš zahodit tuto kartu?
MINI_GAME_RUMI_EXIT_QUESTION	Pøeješ si ukonèit hru a vzít si odmìnu?\nTvé skóre a zbylé karty budou smazány!
MINI_GAME_RUMI_START_QUESTION	Abys mohl hrát, musíš zaplatit poplatek %d Yangù. Také budeš potøebovat %d sad(u) karet.\nPøeješ si zahájit hru?
MINUTE	min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	deset tisíc
MONETARY_UNIT2	sto miliónù
MONEY_INPUT_DIALOG_SELLPRICE	Prodejní cena:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nemùeš pøesunout tento pøedmìt, kdy jsi otevøel soukromı stánek.
MUSIC_EMPTY_MUSIC_LIST	Bez hudby v pozadí	
MUSIC_METIN2_DEFAULT_THEMA	Standardní hudba Metin2
MUSIC_NOT_SELECT_MUSIC	Nebyl zvolen hudební soubor.
NEEFD_REST	Musíš si nejdøív odpoèinout.
NOT_YET_SUPPORT	Není podporováno.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Pokud nenáleíš k ádnému cechu, nemùeš zaktivovat cechovní modus.
OPTION_PVPMODE_NOT_SUPPORT	Konfiguraci PvP-módu nemùeš pouít.
OPTION_PVPMODE_PROTECT	Abys mohl pøejít do PvP-módu, musíš dosáhnout minimálnì úrovnì %d.
PARTY_ANSWER_TIMEOVER	Pozvání bylo odmítnuto.
PARTY_BONUS_ATTACKER	Hodnota útoku: +%d	SA
PARTY_BONUS_BERSERKER	Rychlost útoku: +%d	SA
PARTY_BONUS_BUFFER	Trvání schopností: +%d	SA
PARTY_BONUS_DEFENDER	Obrana: +%d	SA
PARTY_BONUS_EXP	Bonus BZK: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MB: +%d	SA
PARTY_BONUS_TANKER	Max. ZB: +%d	SA
PARTY_BREAK_UP	Zrušit skupinu
PARTY_DO_YOU_ACCEPT	 by se rád pøidal do skupiny.
PARTY_DO_YOU_JOIN	 tì pozval do jeho skupiny. Pøijmout?
PARTY_EXP_DISTRIBUTION_MODE	Rozloení BZK
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Podle úrovnì
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Vyšší úroveò obdrí více BZK.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Rovnomìrné rozloení
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Všichni èlenové skupiny obdrí stejnı poèet BZK.
PARTY_HEAL_ALL_MEMBER	Vše znovuobnovit
PARTY_INCREASE_AREA_150	Dosah skupiny byl zvıšen o faktor 1,5.	SNA
PARTY_INCREASE_AREA_200	Dosah skupiny byl zvıšen o faktor 2.	SNA
PARTY_LEAVE	Opustit skupinu
PARTY_LONGTIME_BONUS_EXP	Bonus za dlouhou hru skupiny: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Pøivolat èlena skupiny.
PARTY_REGEN_BONUS	Bonus na regeneraci ZB a MB: +%d%%	SA
PARTY_REQUEST_DENIED	Tvùj poadavek byl zamítnut.
PARTY_SET_ATTACKER	Urèit útoèníka.
PARTY_SET_BERSERKER	Urèit zuøivce.
PARTY_SET_BUFFER	Urèit blokátora
PARTY_SET_DEFENDER	Urèit obránce.
PARTY_SET_NORMAL	Odvolat nastavení.
PARTY_SET_SKILL_MASTER	Urèit mistra schopností.
PARTY_SET_TANKER	Zaloit bojovníka zblízka.
PARTY_SKILL_ATTACKER	Základní hodnota útoku útoèníka +%.0f
PARTY_SKILL_BERSERKER	Rychlost útoku zuøivce +%.0f
PARTY_SKILL_BUFFER	Doba trvání schopností blokátora +%.0f
PARTY_SKILL_DEFENDER	Obrana obránce +%.0f
PARTY_SKILL_HP_REGEN	Regenerace ZB +%.0f%%
PARTY_SKILL_PARTY_AREA	Dosah skupiny +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MB mistra schopností +%.0f
PARTY_SKILL_SP_REGEN	Regenerace MB +%.0f%%
PARTY_SKILL_TANKER	Max. ZB bojovník zblízka +%.0f
PARTY_SKILL_WARP	Schopen, pøivolat èleny skupiny.
PASSWORD_TITLE	Heslo ke skladišti
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	Nemùeš otevøít Inkubátor pokud obchoduješ nebo máš otevøen sklad èi privátní stánek.
PET_CAN_NOT_FEED_SPLIT_ITEM	Do tohoto okna nemùeš umístit rozdìlené pøedmìty.
PET_CAN_NOT_FEED_TYPE	Tohle nemùeš dát mazlíkovi serat! Zkus nìco jiného.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Tvùj mazlík musí mít úroveò %d na trénink a vıvin na další evoluèní stupeò.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Tvùj mazlík musí mít 100% zkušeností pro trénink a vıvin na další evoluèní stupeò.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Tvùj mazlík ji dosáhl nejvyššího evoluèního stupnì.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nemùeš otevøít soukromı stánek, kdy máš pøivolaného mazlíka.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Tvùj mazlík musí bıt starı %d dnù pro trénink a vıvin na další evoluèní stupeò.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nemùeš pøivolat mazlíka, protoe jeho ivotnost vypršela.
PET_CAN_NOT_USE_BAG	Nemùeš pouít pøepravní bednu, protoe ivotnost tvého mazlíka ji vypršela.
PET_HATCHING_ACCEPT	Chceš pøivolat mazlíka '%s'?
PET_HATCHING_MONEY	Cena: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nemùeš provádìt ádné akce, pokud je Inkubátor otevøen.
PET_INFORMATION_STAGE1	Mladı
PET_INFORMATION_STAGE2	Divokı
PET_INFORMATION_STAGE3	Stateènı
PET_INFORMATION_STAGE4	Hrdinnı
PET_INFO_EXP	Aktuální zkušenosti:
PET_INFO_ITEM_EXP	Aktuální zkušenosti pøedmìtu
PET_INFO_NEXT_EXP	Zbıvající zkušenosti:
PET_INFO_NEXT_ITEM_EXP	Zbıvající zkušenosti pøedmìtu
PET_MSG_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù.
PET_NAME_CHANGE_ACCEPT	Chceš zmìnit jméno mazlíka na %s?
PET_NAME_MIN	Zadané jméno je pøíliš krátké.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Nyní jsou dostupné schopnosti.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Chceš zaèít hrdinnı trénink s mazlíkem '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Èas obnovení: %s vteøin
PET_SKILL_TOOLTIP_DURATION	Doba trvání: %d vteøin
PET_SKILL_TOOLTIP_HEAL	Kdy tvé ZB spadnou pod 20%%, máš \n a %d%% šanci na zvıšení ZB o %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Tvá postava má %d%% šanci stát se nesmrtelnou,\n pokud ZB klesnou pod 10%%.\n Doba trvání efektu: %.1f vteøin.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Existuje %d%% šance na okamité odebrání \n efektù jako je zpomalení, otrava nebo krvácení, pokud \n je jimi postava zasaena.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Zvıšit hrdinnı vıcvik na další úroveò?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Náklady: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Obrana
PET_TOOLTIP_HP	ZB
PET_TOOLTIP_LEVEL	Úroveò
PET_TOOLTIP_LIFETIME_OVER	Vypršelo
PET_TOOLTIP_SKILL_BONUS_VALUE	v tréninku na hrdinného
PET_TOOLTIP_SKILL_CUR_LEVEL	Úroveò: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Další úroveò: %d (max. %d)
PET_TOOLTIP_SP	MB
PET_TOOLTIP_TRADABLE	Lze obchodovat
PET_TOOLTUP_SKILL	%s (úroveò %d)
PICK_ITEM_TITLE	Poèet pøedmìtù
PICK_MONEY_TITLE	Èástka
PRIVATESHOPSEARCH_ABLITY_POTION	Rosa
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Jemné plátno
PRIVATESHOPSEARCH_ARMOR	Vıbava
PRIVATESHOPSEARCH_ARROW	Šípy
PRIVATESHOPSEARCH_BELL	Zvony
PRIVATESHOPSEARCH_BELT	Opasky
PRIVATESHOPSEARCH_BLEND	Lektvary
PRIVATESHOPSEARCH_BLOOD_PEARL	Krvavì rudá perla
PRIVATESHOPSEARCH_BLUE_PEARL	Modrá perla
PRIVATESHOPSEARCH_BODY	Brnìní
PRIVATESHOPSEARCH_BOW	Luky
PRIVATESHOPSEARCH_BUYTIME	Pøeješ si koupit zvolenı pøedmìt?
PRIVATESHOPSEARCH_CLAW	Drápy
PRIVATESHOPSEARCH_CLEAR_POTION	Elixíry
PRIVATESHOPSEARCH_COSTUME	Kostımy
PRIVATESHOPSEARCH_COSTUMEBODY	Kostım
PRIVATESHOPSEARCH_COSTUMEHAIR	Úèes
PRIVATESHOPSEARCH_COSTUME_ACCE	Šerpy
PRIVATESHOPSEARCH_COSTUME_MOUNT	Jezdecké zvíøe
PRIVATESHOPSEARCH_CRYSTAL	Køišál
PRIVATESHOPSEARCH_DAGGER	Dıky
PRIVATESHOPSEARCH_DEAD	Mrtvı
PRIVATESHOPSEARCH_DETACHMENT	Pøíruèka kamenù
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchymie Draèích kamenù
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Safír
PRIVATESHOPSEARCH_DS_GREEN	Nefrit
PRIVATESHOPSEARCH_DS_RED	Rubín
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granát
PRIVATESHOPSEARCH_EAR	Náušnice
PRIVATESHOPSEARCH_FAN	Vìjíøe
PRIVATESHOPSEARCH_FISH	Ryby
PRIVATESHOPSEARCH_FOOTS	Boty
PRIVATESHOPSEARCH_GEM	Drahokamy
PRIVATESHOPSEARCH_GIFTBOX	Dárkové truhly
PRIVATESHOPSEARCH_HEAD	Pøilbice
PRIVATESHOPSEARCH_LIVE	Naivu
PRIVATESHOPSEARCH_MATERIAL	Materiály
PRIVATESHOPSEARCH_METIN	Kameny ducha
PRIVATESHOPSEARCH_NECK	Náhrdelníky
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Bez správného mìšce si nemùeš koupit ádnı pøedmìt.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Bez správného mìšce nemùeš hledat ádnı pøedmìt.
PRIVATESHOPSEARCH_NODELAY_POTION	Pøedmìty pro ZB
PRIVATESHOPSEARCH_ORE	Ruda
PRIVATESHOPSEARCH_PET	Systém mazlíkù
PRIVATESHOPSEARCH_PETAGG	Vejce mazlíkù
PRIVATESHOPSEARCH_PETSKILLBOOK	Knihy schopností zvíøete
PRIVATESHOPSEARCH_PICK	Krumpáèe
PRIVATESHOPSEARCH_POTION	Lektvary
PRIVATESHOPSEARCH_QUEST	Úkol
PRIVATESHOPSEARCH_QUIVER	Toulce
PRIVATESHOPSEARCH_RESOURCE	Vylepšení pøedmìtù
PRIVATESHOPSEARCH_ROD	Rybáøské pruty
PRIVATESHOPSEARCH_SELECTITEM	Zvolenı pøedmìt
PRIVATESHOPSEARCH_SHIELD	Štíty
PRIVATESHOPSEARCH_SKILLBOOK	Knihy schopností
PRIVATESHOPSEARCH_SKILLFORGET	Kniha zapomnìní
PRIVATESHOPSEARCH_SPECIAL	Rùzné
PRIVATESHOPSEARCH_STONE	Fragmenty energie
PRIVATESHOPSEARCH_SWORD	Jednoruèní meèe
PRIVATESHOPSEARCH_TREASUREBOX	Truhly
PRIVATESHOPSEARCH_TUNING	Pergameny
PRIVATESHOPSEARCH_TWOSWORD	Dvouruèní meèe
PRIVATESHOPSEARCH_UNIQUE	Unikátní
PRIVATESHOPSEARCH_USEITEM	Spotøební pøedmìty
PRIVATESHOPSEARCH_USESPECIAL	Rùzné
PRIVATESHOPSEARCH_WEAPON	Zbranì
PRIVATESHOPSEARCH_WHITE_PEARL	Bílá perla
PRIVATESHOPSEARCH_WRIST	Náramky
PRIVATE_SHOP_CANNOT_SELL_ITEM	Tento pøedmìt nemùeš prodávat v soukromém stánku.
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavøít soukromı stánek?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Název soukromého stánku.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PVP_LEVEL0	Rytíøskı
PVP_LEVEL1	Vznešenı
PVP_LEVEL2	Dobrı
PVP_LEVEL3	Pøátelskı
PVP_LEVEL4	Neutrální
PVP_LEVEL5	Agresivní
PVP_LEVEL6	Úskoènı
PVP_LEVEL7	Zlomyslnı
PVP_LEVEL8	Krutı
PVP_MODE_GUILD	Cechovní mód PvP byl zaktivován
PVP_MODE_KILL	Mód volného PvP byl zaktivován
PVP_MODE_NORMAL	Mír v PvP byl zaktivován
PVP_MODE_PROTECT	Ochrana PvP byla aktivována.
PVP_MODE_REVENGE	Agresivní PvP byl zaktivován.
PVP_OPTION_KILL	Volno
PVP_OPTION_NORMAL	Mír
PVP_OPTION_PROTECT	Ochrana
PVP_OPTION_REVENGE	Nepøátelskı
QUEST_APPEND	Byl získán novı úkol.
QUEST_MIN	min.
QUEST_SEC	sek.
QUEST_TIMEOVER	Èas vypršel
QUEST_UNLIMITED_TIME	Bez èasového omezení
QUEST_ZEROSEC	0 sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Tento pøedmìt nemùe bıt pøidán k poli rychlého pøístupu.
RECEIVE_MESSAGE	%s ti poslal/a zprávu.
REFINE_COST	Náklady na zlepšení: %d Yang
REFINE_DESTROY_WARNING	Pøedmìt by se mohl zušlechtìním znièit.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Opravdu chceš vylepšit tento pøedmìt?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Pokud se to nezdaøí, pøedmìt bude znièen. Pøeješ si pokraèovat?
REFINE_DOWN_GRADE_WARNING	Pøedmìt by se mohl zušlechtìním zhoršit.
REFINE_DO_YOU_SEPARATE_METIN	Chceš odstranit všechny kameny ducha?
REFINE_FAILURE	To nefunguje! Selhali jsme.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nelze pøidat k pøedmìtu.
REFINE_FAILURE_EQUIP_ITEM	Nemùeš vylepšovat pouívané pøedmìty.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nelze odstranit kámen ducha.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potøebuješ lepší pergamen zlepšování.
REFINE_FAILURE_NO_GOLD_SOCKET	Neexistuje ádná úchytka ze zlata, do kterého lze pøidat %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nemùeš pøidat ádné další úchyty.
REFINE_FAILURE_NO_SOCKET0	Neexistuje ádnı úchyt, do kterého lze pøidat %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	K tomuto pøedmìtu nelze pøidat ádnı úchyt.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Tento pøedmìt nelze zlepšit.
REFINE_SUCCESS	Toto zlepšení pøedmìtu bylo úspìšné.
REFINE_SUCCESS_PROBALITY	Šance na zlepšení: %d%%
REFINE_WARNING2	Chceš pokraèovat?
SAFEBOX_ERROR	Zadal jsi špatné heslo.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nemùeš prodat ádnı z uloenıch pøedmìtù.
SAFEBOX_WRONG_PASSWORD	Hesla musí bıt identická.
SCREENSHOT_SAVE1	je uloen v
SCREENSHOT_SAVE2	Sloka screenshotù
SCREENSHOT_SAVE_FAILURE	Uloení screenshotu se nezdaøilo.
SECOND	sek
SELECT_ATTR_NOTICE	Nemùeš otevøít soukromı stánek kdy pouíváš Zaèarovat pøedmìt+.
SELECT_ATTR_NOT_OPEN	Nemùeš pouít Zaèarovat pøedmìt+, kdy máš otevøen soukromı stánek.
SELECT_ATTR_NOT_SELECT	Rozhodni se, zda si chceš bonusy ponechat nebo je zamìnit.
SELECT_CAN_NOT_DELETE	Tuto postavu nemùeš smazat.
SELECT_CHANGED_NAME	Zmìnil jsi název postavy.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Tento název postavy u existuje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Zkus to znovu.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Toto je špatnı název postavy.
SELECT_CHANGE_NAME_TITLE	Zmìnit název postavy
SELECT_DELEING	Postava se mae
SELECT_DELETED	Vymazání úspìšné.
SELECT_DO_YOU_DELETE_REALLY	Chceš pokraèovat?
SELECT_EMPTY_SLOT	Toto je prázdné pole.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Zadej novı název postavy.
SELECT_NOT_JOIN_GUILD	ádnı cech
SHOP_BUY_INFO	Zvol pøedmìt, kterı chceš koupit, v obchodním oknì.
SHOP_CANNOT_SELL_EQUIPMENT	Vybavenı pøedmìt nemùeš prodat.
SHOP_CANNOT_SELL_ITEM	Tento pøedmìt není na prodej.
SHOP_ERROR_UNKNOWN	Neznámá chyba v obchodì: %s
SHOP_EXCEED_LIMIT_TODAY	Dosáhl jsi denního limitu pro pouití bodù.
SHOP_INVALID_POS	Tento pøedmìt není vhodnı.
SHOP_INVENTORY_FULL	V inventáøi u není místo.
SHOP_LIMIT_TODAY	Denní limit: %d / %d
SHOP_MY_BATTLE_POINT	Bitevní body: %d
SHOP_NOT_ENOUGH_10TH_COIN	Nemáš dostatek Vıroèních mincí.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nemáš dostatek bitevních bodù.
SHOP_NOT_ENOUGH_MONEY	Nemáš dostatek Wonù nebo Yangù
SHOP_NOT_ENOUGH_MONEY_EX	Nemáš dostatek Yangù.
SHOP_SELL_INFO	Zvol pøedmìt, kterı chceš prodat, v oknì inventáøe.
SHOP_SOLDOUT	Vyprodáno
SHOT_ERROR_UNKNOWN	Neznámá chyba v útoku na dálku: %s
SKILL_BLEEDING	Krvácení
SKILL_BOHO	Reflektovat
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Potøebuješ BZK, abys mohl získat tuto schopnost.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Potøebuješ knihu, aby ses mohl nauèit tuto schopnost.
SKILL_CHEONGEUN	Silné tìlo
SKILL_CRITICAL	Kritickı zásah
SKILL_ENCHANT_POISON	Pouít jed
SKILL_EUNHYEONG	Neviditelnı
SKILL_FAINT	Bezvìdomí
SKILL_FIND_TRAP	Hledat past
SKILL_FIRE	Spálit
SKILL_FISHMIND	Koule na ryby je aktivní
SKILL_GAMJI	Zachycení
SKILL_GEOMGYEONG	Aura meèe
SKILL_GICHEON	Pomoc draka
SKILL_GIGONG	Rotace Chi
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s velmistr
SKILL_GRADE_NAME_MASTER	%s mistr
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfektní mistr
SKILL_GROUP_ASSASSIN_1	Èepel
SKILL_GROUP_ASSASSIN_2	Luk
SKILL_GROUP_HORSE	Jezdecké umìní
SKILL_GROUP_SHAMAN_1	Drak
SKILL_GROUP_SHAMAN_2	Uzdravení
SKILL_GROUP_SURA_1	Zbranì
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Tìlo
SKILL_GROUP_WARRIOR_2	Mentálnì
SKILL_GWIGEOM	Zaèarovaná èepel
SKILL_GYEONGGONG	Polehouèku našlapovat
SKILL_HEUKSIN	Tmavá ochrana
SKILL_HOSIN	Poehnání
SKILL_INC_ATKSPD	Rychlost útoku zvıšena
SKILL_INC_MOVSPD	Rychlost pohybu zvıšena
SKILL_JEOJU	Kletba
SKILL_JEONGEOP	Hojení
SKILL_JEONGWI	Bojové zuøení
SKILL_JEONSINBANGEO	Plná obrana
SKILL_JEONSINGONGGYEOK	Plnı útok
SKILL_JEUNGRYEOK	Útok +
SKILL_JEUNGSOK	Rychlost +
SKILL_JUMAGAP	Zaèarované brnìní
SKILL_KWAESOK	Rychlost
SKILL_MUYEONG	Duch plamene
SKILL_NEED_EMPTY_BOTTLE	Nemám ádnou prázdnou láhev
SKILL_NEED_POISON_BOTTLE	Nemám ádnou láhev s jedem
SKILL_ONLY_FOR_GUILD_WAR	Tuto schopnost mùeš pouít jenom ve válce cechù.
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omraèující útok
SKILL_SEOMGWANG	Blesková bomba
SKILL_SLEEP	Spánek
SKILL_SLOW	Pomalu
SKILL_STUN	Omráèit
SKILL_SUHO	Stráce
SKILL_SUMMON_DESCRIPTION	Šance zaøíkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Úroveò
SKILL_TOXICDIE	Otrávení
SKILL_TOXICPOWER	Hodnota útoku jedem zlepšena
SKILL_TUSOK	Rána ducha
STAT_MINUS_CON	Pøizpùsobení vitality (zbıvající šance: %d)
STAT_MINUS_DEX	Pøizpùsobení pohyblivosti (zbıvající šance: %d)
STAT_MINUS_INT	Pøizpùsobení inteligence (zbıvající šance: %d)
STAT_MINUS_STR	Pøizpùsobení síly (zbıvající šance: %d)
STAT_TOOLTIP_CON	ZB a obrana se zlepší
STAT_TOOLTIP_DEX	Útok a vyhıbání se zlepší
STAT_TOOLTIP_INT	Zvyšuje MB, útok magií a obranu
STAT_TOOLTIP_STR	Hodnota útoku a poškození se zlepší
SYMBOLLIST_TITLE	Nahlásit prapor cechu
SYSTEM_OPTION_CPU_TILING_1	Modus CPU-Tiling mùe zvıšit rychlost slabšího poèítaèe.
SYSTEM_OPTION_CPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	a pøepni do GPU-Tiling módu
SYSTEM_OPTION_GPU_TILING_1	Modus GPU-Tiling mùe na slabších poèítaèích bìet pomalu
SYSTEM_OPTION_GPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	a pøepni do módu CPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Na zmìnu Tiling-módu musí hra bıt restartována.
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BLOCK	Blokovat
TARGET_BUTTON_BLOCK_REMOVE	Odblokovat
TARGET_BUTTON_BUILDING_DESTROY	Znièit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vylouèit
TARGET_BUTTON_EXIT_OBSERVER	Ukonèit diváckı modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Pøítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Pøistoupit ke skupinì
TARGET_BUTTON_VIEW_EQUIPMENT	Vızbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stupeò 5.
TARGET_LEVEL_KNIGHT	Stupeò 3.
TARGET_LEVEL_PAWN	Stupeò 1.
TARGET_LEVEL_S_KNIGHT	Stupeò 4.
TARGET_LEVEL_S_PAWN	Stupeò 2.
TARGET_TOOLTIP_ATTACK_COUNT	Celkové zásahy: %d
TASKBAR_ATTACK	Zaútoèit
TASKBAR_AUTO	Útoèit automaticky
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Zkušenost
TASKBAR_HP	ZB
TASKBAR_MOVE	Pohybovat
TASKBAR_SKILL	Schopnost
TASKBAR_SP	MB
TASKBAR_ST	VB
TENTH_COIN	Vıroèní mince
TENTH_EVENT_ASK_EXCHANGE	Potøebuješ %d Vıroèních vlajek. Pøeješ si pokraèovat?
THING_COUNT	všichni
TOOLTIP_AFFECT_POLYMORPH	Transformovat	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Odolnost proti kritickım zásahùm +%d%% 	SA
TOOLTIP_ANTI_PENETRATE_PCT	Odolnost proti pronikavım zásahùm +%d%% 	SA
TOOLTIP_ANTI_SELL	Nemùe se prodávat v obchodì.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorpèní pomìr: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silnı proti zvíøatùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silnı proti ninjùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silnı proti ïáblu +%d%%	SA
